trial,seed,configuration,manual_rebalancing,incentive_rebalancing,fleet_size,mean_satisfied_ratio,mean_rebalanced_vehicles_manually,mean_rebalanced_vehicles_incentives,max_satisfied_ratio,min_satisfied_ratio,mean_gini_index
6,37194,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
7,87498,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
7,87498,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
7,87498,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
7,87498,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
7,87498,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
7,87498,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
7,87498,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
7,87498,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
7,87498,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
8,44131,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
8,44131,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
8,44131,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
8,44131,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
